source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,16372620203.715488,1017959646.0,1e+20,2.554520985765487
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,245256722.15434554,6795600349.0,1e+19,5.005581996196243
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,9526909689.101326,174943053.0,1e+19,2.940838357413416
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,7357691229.433412,6795609987.0,3e+20,2.524086450542411
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,110716002137.3494,4516059019.0,3e+21,2.205693537488266
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,11071592363.696089,4516062221.0,3e+20,2.4569279142530447
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,14715382458.866823,6795609987.0,6e+20,2.405931333857799
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,36905307878.98696,4516062221.0,1e+21,2.303640402958185
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,43661142024.78505,11451830548.0,3e+21,2.265984744495722
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,39780429408.93667,12568994539.0,3e+21,2.265984744495722
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,17934217598.246437,9293222063.0,1e+21,2.3595282724312296
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,7956095284.276848,12568979685.0,6e+20,2.524086450542411
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,33562416009.109993,2979523285.0,6e+20,2.3595282724312296
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,13260143136.312223,12568994539.0,1e+21,2.416772019301729
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,23551029836.84209,424609882.0,6e+19,2.640121479394902
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,189491810909.39328,2638636454.0,3e+21,2.205693537488266
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,14553714008.261683,11451830548.0,1e+21,2.405931333857799
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,96308656930.28098,1730547097.0,1e+21,2.303640402958185
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,61248747124.72197,816343229.0,3e+20,2.445912595343321
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,6316407133.462543,2638630841.0,1e+20,2.585322489772079
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,167811842086.33133,2979527510.0,3e+21,2.21231255030845
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,9630886178.626024,1730543416.0,1e+20,2.566031188935832
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,5453108639.736828,305636065.0,1e+19,2.914521190461052
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,83056004185.8844,2006678124.0,1e+21,2.303640402958185
