source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,222593810432.0,272513792.0,3e+20,3.4256324768066406
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,430491828224.0,156508160.0,3e+20,3.705698013305664
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,122339459072.0,447244032.0,3e+20,3.260427713394165
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,77873545216.0,669160448.0,3e+20,3.1699068546295166
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,35199647744.0,1384584448.0,3e+20,3.109652519226074
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,13877116928.0,3383110656.0,3e+20,3.196133613586426
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,5756026880.0,8112833792.0,3e+20,3.2665581703186035
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,6964117504.0,6701811712.0,3e+20,3.2473855018615723
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,18617466880.0,2544614912.0,3e+20,3.122793197631836
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,8797814784.0,5318048256.0,3e+20,3.1995811462402344
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,24675090432.0,1934716160.0,3e+20,3.132127523422241
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,49826234368.0,998036992.0,3e+20,3.1392297744750977
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,10956570624.0,4275080960.0,3e+20,3.1791906356811523
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2639331328.0,5318048256.0,9e+19,3.4796152114868164
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,5585240064.0,2544614912.0,9e+19,3.3602747917175293
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2089222144.0,6701811712.0,9e+19,3.5478620529174805
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,66778562560.0,272513792.0,9e+19,3.477428436279297
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4163108864.0,3383110656.0,9e+19,3.4192652702331543
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,129147863040.0,156508160.0,9e+19,3.7268166542053223
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,23361748992.0,669160448.0,9e+19,3.3049635887145996
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,14947975168.0,998036992.0,9e+19,3.374229907989502
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,36702257152.0,447244032.0,9e+19,3.339935541152954
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,7402553344.0,1934716160.0,9e+19,3.3593087196350098
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1726808064.0,8112833792.0,9e+19,3.588470458984375
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,10559946752.0,1384584448.0,9e+19,3.332141160964966
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,258295201792.0,156508160.0,1.8e+20,3.7119431495666504
