source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1579500858.99,633111399.9136679,6e+18,0.919843406813
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1842753880.19,542666066.668053,6e+18,0.911815540739
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2384069053.89,419450937.6179083,6e+18,0.909076048884
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2648968442.53,377505440.9651295,6e+18,0.904596051536
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2980093045.04,335559992.55270827,6e+18,0.900939290376
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3272863725.19,305542816.3120195,6e+18,0.90057201694
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3681976073.48,271593291.2227904,6e+18,0.900461887081
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4155263509.83,240658624.3289567,6e+18,0.902877050907
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4207978404.38,237643805.1486006,6e+18,0.897033401339
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4986325395.81,200548484.22854596,6e+18,0.901038406943
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6152495197.44,162535681.5257802,6e+18,0.906027867324
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6232920815.82,160438425.1861285,6e+18,0.900670287116
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,7572317753.69,132059962.68615362,6e+18,0.906140017699
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,9844039084.11,101584318.33272327,6e+18,0.911434061411
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,12771124333.9,78301641.56695072,6e+18,0.918406768945
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,17029403199.8,58721963.90368774,6e+18,0.932185685945
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1565884333.7,1064361288.2495157,1e+19,0.90080544013
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1630126409.0,1022415597.6278442,1e+19,0.902168506307
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1852418768.69,899724562.7376719,1e+19,0.896439743337
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2144909133.1,777033693.8506399,1e+19,0.891861997533
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2303447550.36,723553122.1043811,1e+19,0.888974840575
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2621118758.94,635860798.3640845,1e+19,0.883042761021
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2632515032.84,633108128.8712108,1e+19,0.884268980381
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3071272335.07,542663262.9205382,1e+19,0.880316628666
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3311218028.36,503339451.64346164,1e+19,0.885725624318
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,3973468952.53,419448770.4768553,1e+19,0.881052606951
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4414970214.66,377503490.5405399,1e+19,0.878752396085
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,4966847403.52,335558258.8435275,1e+19,0.8773843118
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,5454801058.17,305541237.6901252,1e+19,0.872734298093
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6136658494.88,271591888.0050466,1e+19,0.878106931605
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,6925474964.31,240657380.93859679,1e+19,0.88227615441
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,10254211642.0,162534841.76591435,1e+19,0.889187020271
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,16406816574.6,101583793.48537941,1e+19,0.899371538483
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1476196592.19,3387082741.183062,3e+19,0.884265135377
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,1930416159.57,2590115077.110497,3e+19,0.86515972185
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2392142613.79,2090176384.6254265,3e+19,0.856588700461
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2660794312.06,1879138112.005725,3e+19,0.854389495993
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,2980093045.04,1677799962.7635415,3e+19,0.848481006141
