"Name","parameter_count","throughput/total_tokens","eval/paloma/macro_loss","throughput/total_gflops","trainer.train_batch_size","trainer.num_train_steps","learning_rate","model.hidden_dim","model.num_layers"
"exp2166-scaling-ladder-nemotron-validation-optimal-1e+21-eb842c","3383110656","46256881664","2.765488862991333","1000005513819.445","256","44114","","2560","26"
"exp2166-scaling-ladder-nemotron-validation-optimal-6e+18-30cde8","447244032","2446786560","3.5816049575805664","5999993560.026317","16","37335","","1024","11"
"exp2166-scaling-ladder-nemotron-validation-optimal-3e+19-be835e","669160448","7787380736","3.2858669757843018","30000190274.06881","32","59413","","1280","13"
"exp2166-scaling-ladder-nemotron-validation-optimal-1e+19-3c99f4","447244032","4077977600","3.5138072967529297","9999989266.710527","16","62225","","1024","11"
"exp2166-scaling-ladder-nemotron-validation-optimal-3e+18-283388","272513792","2225930240","3.7309377193450928","2999992672.9506817","16","33965","","768","8"
"exp2166-scaling-ladder-nemotron-validation-optimal-1e+18-24e99e","156508160","1434976256","4.040768146514893","1000002028.7111824","8","43792","","512","6"
"exp2166-scaling-ladder-nemotron-validation-optimal-1e+20-9563f0","1384584448","11733303296","3.076223850250244","100000706967.1348","64","44759","","1792","18"
"exp2166-scaling-ladder-nemotron-validation-optimal-6e+19-dbe3e5","998036992","9965142016","3.1456024646759033","59999356668.736435","64","38014","","1536","16"
"isoflop-6e+17-d512-L6-B16-nemo-wider-depth-adapt","156508160","2582970368","3.908900499343872","1800012785.7870767","16","39413","","512","6"
"isoflop-6e+17-d640-L7-B8-nemo-wider-depth-adapt","210054272","1819574272","3.8983211517333984","1800005551.3173196","8","55529","","640","7"
"isoflop-6e+17-d768-L8-B8-nemo-wider-depth-adapt","272513792","1335558144","3.8457248210906982","1799995603.7704089","8","40758","","768","8"
"isoflop-1e+20-d1280-L13-B512-nemo-wider-depth-adapt","669160448","77873545216","2.9945459365844727","300000892854.29034","512","37133","","1280","13"
"isoflop-1e+20-d2304-L23-B128-nemo-wider-depth-adapt","2544614912","18617466880","2.9134554862976074","300000333778.3974","128","35510","","2304","23"
"isoflop-6e+18-d1152-L12-B32-nemo-wider-depth-adapt","550337664","5808717824","3.3720898628234863","17999984159.00246","32","44317","","1152","12"
"isoflop-1e+18-d640-L7-B16-nemo-wider-depth-adapt","210054272","3032612864","3.7690718173980713","2999998446.99734","16","46274","","640","7"
"isoflop-3e+18-d640-L7-B64-nemo-wider-depth-adapt","210054272","9097969664","3.570723056793213","9000125003.370333","64","34706","","640","7"
