source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,246319834.18510935,57234240.0,8.458757103906451e+16,5.111131825757191
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,227191994.97742882,62052928.0,8.458757103906451e+16,5.494873991736231
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,123972272.79411909,113718400.0,8.458757103906451e+16,5.822999833151698
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,377527957.6637985,57234240.0,1.296451544138381e+17,4.659351247211338
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,281286108.4056258,76816896.0,1.296451544138381e+17,4.973271256753567
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,230013093.9982178,93940416.0,1.296451544138381e+17,5.404892992621113
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,122369373.01264153,176576256.0,1.296451544138381e+17,5.804403255693614
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,431089681.48765117,62052928.0,1.605022618013769e+17,4.528919558228506
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,348235588.26037633,76816896.0,1.605022618013769e+17,4.889379989351872
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,284758979.2118458,93940416.0,1.605022618013769e+17,4.990585064016341
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,578627211.6060632,57234240.0,1.9870373219755325e+17,4.299376129495913
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,533694215.03514236,62052928.0,1.9870373219755325e+17,4.333299255375778
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,431119850.2422203,76816896.0,1.9870373219755325e+17,4.438444565891095
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,352535044.12405634,93940416.0,1.9870373219755325e+17,4.893312623234756
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,291221901.6411786,113718400.0,1.9870373219755325e+17,4.859095484051203
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,716347453.3428777,57234240.0,2.459976124080904e+17,4.192583857125409
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,660719862.6955212,62052928.0,2.459976124080904e+17,4.18217454942285
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,533731564.31646323,76816896.0,2.459976124080904e+17,4.250355883105911
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,436442628.3572671,93940416.0,2.459976124080904e+17,4.439395141599264
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,287929553.40439314,142394560.0,2.459976124080904e+17,4.881797309078972
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,138544670.97962126,295930560.0,2.459976124080904e+17,5.822760738196364
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,886846770.4560567,57234240.0,3.0454800542104115e+17,4.081692599813854
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,817979143.6031327,62052928.0,3.0454800542104115e+17,4.0743577845040155
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,660766101.5554034,76816896.0,3.0454800542104115e+17,4.099673178316073
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,540321227.6972125,93940416.0,3.0454800542104115e+17,4.248288553843175
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,287456547.40525734,176576256.0,3.0454800542104115e+17,4.83446436763756
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1097926977.4717503,57234240.0,3.770340967865565e+17,4.004381016893072
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,1012668026.4159775,62052928.0,3.770340967865565e+17,3.986164451031388
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,818036387.8682724,76816896.0,3.770340967865565e+17,3.97902173781964
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,668924184.1455412,93940416.0,3.770340967865565e+17,4.112906863249659
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,552584420.2089789,113718400.0,3.770340967865565e+17,4.147772942670083
misfitting,chinchilla,fineweb_c4,transformer,,misfitting__fineweb_c4__transformer,441302084.3710093,142394560.0,3.770340967865565e+17,4.324622816652403
