surface,alpha,beta,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904640633e+11,2.002563476562500e-01,0.000000000049053
Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904638362e+11,-2.685546875000000e-02,-0.000000000006578
Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904638746e+11,1.153564453125000e-02,0.000000000002826
Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904640399e+11,1.768798828125000e-01,0.000000000043327
Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.035834749563681e+12,4.022640080071175e+12,-1.319466949250537e+10,-0.326937803732719
Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.035834749563681e+12,3.983323492914587e+12,-5.251125664909375e+10,-1.301125043704300
Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.035834749563681e+12,3.918678311395280e+12,-1.171564381684004e+11,-2.902904738135434
Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.035834749563681e+12,3.829997307632958e+12,-2.058374419307222e+11,-5.100244551712022
High Imbalance,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.510334355952566e+16,4.434797634319416e+16,-7.553672163314960e+14,-1.674747716507073
High Imbalance,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.510334355952566e+16,4.217262808974590e+16,-2.930715469779760e+15,-6.497778742083532
High Imbalance,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.510334355952566e+16,3.882927967488314e+16,-6.274063884642520e+15,-13.910418584294648
High Imbalance,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.510334355952566e+16,3.467711572211202e+16,-1.042622783741363e+16,-23.116308048545221
