method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,E,-1.2458938811599011e-06,1.2458938811599011e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,A,6.278966561978905e-05,6.278966561978905e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,B,-8.376864420256425e-05,8.376864420256425e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,alpha,1.2457572661611449e-05,1.2457572661611449e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,beta,-1.636366769684716e-05,1.636366769684716e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,E,1.2928166461490305,1.2928166461490305,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,A,29.805226340001667,29.805226340001667,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,B,-6.144434926164919,6.144434926164919,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,alpha,5.0341382011076155,5.0341382011076155,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,beta,-1.3267206796999558,1.3267206796999558,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,E,1.0826901636898877e-05,1.0826901636898877e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,A,8.937407552878085e-05,8.937407552878085e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,B,6.571690832402055e-05,6.571690832402055e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,alpha,1.6845068333047204e-05,1.6845068333047204e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,beta,1.2365373832394993e-05,1.2365373832394993e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,E,-1.2426759634458852e-05,1.2426759634458852e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,A,-8.191784426969662e-05,8.191784426969662e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,B,-7.195519202696232e-05,7.195519202696232e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,alpha,-1.594286244240599e-05,1.594286244240599e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,beta,-1.3650511993158798e-05,1.3650511993158798e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,E,-1.46209461369039e-07,1.46209461369039e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,A,-1.0658699238774716e-06,1.0658699238774716e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,B,-9.730502341653846e-07,9.730502341653846e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,alpha,-2.0455850275307022e-07,2.0455850275307022e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,beta,-1.8147736002121872e-07,1.8147736002121872e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,E,-1.0339897511509135e-06,1.0339897511509135e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,A,-5.327197698079544e-06,5.327197698079544e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,B,-4.630722230558604e-06,4.630722230558604e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,alpha,-1.042089121088131e-06,1.042089121088131e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,beta,-9.561931175165874e-07,9.561931175165874e-07,False
