method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,E,-4.216692741196441e-09,4.216692741196441e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,A,-3.09351975147365e-08,3.09351975147365e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,B,-3.0935453310121375e-08,3.0935453310121375e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,alpha,-5.787968670653475e-09,5.787968670653475e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.300000,beta,-5.783223362564351e-09,5.783223362564351e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,E,-2.7250680344737844e-08,2.7250680344737844e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,A,-2.992415488733968e-07,2.992415488733968e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,B,-2.992184562344846e-07,2.992184562344846e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,alpha,-5.44302953963163e-08,5.44302953963163e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.389474,beta,-5.432672233221256e-08,5.432672233221256e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,E,5.331711403738617e-09,5.331711403738617e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,A,4.27925925805539e-08,4.27925925805539e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,B,4.288060040380515e-08,4.288060040380515e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,alpha,7.738970754556454e-09,7.738970754556454e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.478947,beta,7.827448366889888e-09,7.827448366889888e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,E,-1.9678933039326236e-09,1.9678933039326236e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,A,-3.487141952973616e-08,3.487141952973616e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,B,-3.495189559998835e-08,3.495189559998835e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.568421,alpha,-7.499431183582088e-09,7.499431183582088e-09,False
