config,drift_rate,center_scale,surface,alpha,beta,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
"Offset by 3×",0.0,3.0,Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.082482904638630e+11,4.244730718433090e+11,1.622478137944592e+10,3.974243556785229
"Offset by 3×",0.0,3.0,Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.082482904638630e+11,4.224219276129266e+11,1.417363714906360e+10,3.471817881456189
"Offset by 3×",0.0,3.0,Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.082482904638630e+11,4.190471331132448e+11,1.079884264938177e+10,2.645165430359018
"Offset by 3×",0.0,3.0,Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.082482904638630e+11,4.144119915541529e+11,6.163701090289856e+09,1.509792259824649
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.035834749563681e+12,4.322787400632205e+12,2.869526510685239e+11,7.110118943783482
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.035834749563681e+12,4.265511774986103e+12,2.296770254224224e+11,5.690942262867751
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.035834749563681e+12,4.172088880896918e+12,1.362541313332373e+11,3.376107789050776
"Offset by 3×",0.0,3.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.035834749563681e+12,4.045435227509793e+12,9.600477946112793e+09,0.237880848494867
"Offset by 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.510334355952566e+16,5.377273818772505e+16,8.669394628199392e+15,19.221179504703144
"Offset by 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.510334355952566e+16,5.160438683340978e+16,6.501043273884128e+15,14.413661517808102
"Offset by 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.510334355952566e+16,4.824225048547561e+16,3.138906925949952e+15,6.959366375593294
"Offset by 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.510334355952566e+16,4.400977998377522e+16,-1.093563575750440e+15,-2.424573190027912
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.082482904638630e+11,4.289843827637896e+11,2.073609229992651e+10,5.079284539407523
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.082482904638630e+11,4.258613716810889e+11,1.761308121722583e+10,4.314306178040172
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.082482904638630e+11,4.207397761049597e+11,1.249148564109662e+10,3.059776594998952
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.082482904638630e+11,4.137396024511048e+11,5.491311987241760e+09,1.345091238717100
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.035834749563681e+12,4.425557536917803e+12,3.897227873541221e+11,9.656559585256941
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.035834749563681e+12,4.358705321116418e+12,3.228705715527378e+11,8.000093948039963
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.035834749563681e+12,4.250051482301511e+12,2.142167327378306e+11,5.307866799080161
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.035834749563681e+12,4.103526845700125e+12,6.769209613644434e+10,1.677276210175915
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e18-1e22,1e+24,4.510334355952566e+16,5.784024522879702e+16,1.273690166927137e+16,28.239373545470514
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e18-1e22,1e+24,4.510334355952566e+16,5.576265643788254e+16,1.065931287835689e+16,23.633088008850471
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e18-1e22,1e+24,4.510334355952566e+16,5.253005615380142e+16,7.426712594275768e+15,16.465991228508990
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e18-1e22,1e+24,4.510334355952566e+16,4.843844188406777e+16,3.335098324542112e+15,7.394348315087944
