surface,method,jac,eps,label,failures,max_E_err%,max_A_err%,max_B_err%,max_alpha_err%,max_beta_err%
symmetric,approach3,,,5D L-BFGS-B (analytical grad),0/20,5.72e-07,9.10e-07,9.12e-07,2.98e-07,2.24e-07
symmetric,approach3,,,5D L-BFGS-B (finite diff),0/20,3.32e-03,2.29e-02,2.29e-02,4.35e-03,4.32e-03
symmetric,approach3,3-point,,5D L-BFGS-B (central diff),0/20,2.06e-04,1.37e-03,1.37e-03,2.60e-04,2.60e-04
symmetric,nelder-mead,,,2D Nelder-Mead (VPNLS),0/20,9.51e-09,5.00e-08,6.13e-08,9.67e-09,1.22e-08
symmetric,l-bfgs-b,,,2D L-BFGS-B (default eps=1e-08),1/20,2.72e-06,1.03e-05,1.04e-05,2.07e-06,2.07e-06
symmetric,l-bfgs-b,3-point,,2D L-BFGS-B (central diff),0/20,1.67e-08,5.30e-08,5.30e-08,1.21e-08,1.21e-08
symmetric,l-bfgs-b,,1e-06,2D L-BFGS-B (eps=1e-6),11/20,2.88e-04,1.07e-03,1.07e-03,2.09e-04,2.09e-04
symmetric,l-bfgs-b,,1e-10,2D L-BFGS-B (eps=1e-10),0/20,6.40e-08,8.89e-07,8.58e-07,1.79e-07,1.72e-07
symmetric,grid,,,2D Grid (256²),0/20,5.22e-01,2.03e+00,2.03e+00,3.80e-01,3.80e-01
chinchilla,approach3,,,5D L-BFGS-B (analytical grad),0/20,4.49e-07,2.58e-06,2.76e-06,5.45e-07,5.42e-07
chinchilla,approach3,,,5D L-BFGS-B (finite diff),0/20,3.74e-03,1.95e-02,3.25e-02,3.64e-03,6.37e-03
chinchilla,approach3,3-point,,5D L-BFGS-B (central diff),1/20,2.36e-04,1.04e-03,2.26e-03,1.93e-04,4.42e-04
chinchilla,nelder-mead,,,2D Nelder-Mead (VPNLS),0/20,1.66e-08,6.28e-08,7.88e-08,1.25e-08,1.70e-08
chinchilla,l-bfgs-b,,,2D L-BFGS-B (default eps=1e-08),0/20,3.14e-06,1.02e-05,1.12e-05,1.98e-06,2.29e-06
chinchilla,l-bfgs-b,3-point,,2D L-BFGS-B (central diff),0/20,1.85e-08,4.99e-08,6.03e-08,1.10e-08,1.38e-08
chinchilla,l-bfgs-b,,1e-06,2D L-BFGS-B (eps=1e-6),3/20,3.15e-04,1.09e-03,1.12e-03,2.19e-04,2.29e-04
chinchilla,l-bfgs-b,,1e-10,2D L-BFGS-B (eps=1e-10),0/20,3.10e-08,1.08e-07,1.57e-07,2.14e-08,3.09e-08
chinchilla,grid,,,2D Grid (256²),0/20,2.86e-01,9.25e-01,1.08e+00,1.73e-01,2.10e-01
asymmetric,approach3,,,5D L-BFGS-B (analytical grad),0/20,9.06e-07,2.12e-07,1.03e-06,5.00e-08,3.08e-07
asymmetric,approach3,,,5D L-BFGS-B (finite diff),6/20,9.99e+01,1.31e+01,4.52e+01,4.78e+00,2.01e+01
asymmetric,approach3,3-point,,5D L-BFGS-B (central diff),2/20,4.31e-03,4.85e-03,7.21e-03,1.14e-03,2.10e-03
asymmetric,nelder-mead,,,2D Nelder-Mead (VPNLS),0/20,5.25e-08,4.92e-08,6.58e-08,1.20e-08,2.01e-08
asymmetric,l-bfgs-b,,,2D L-BFGS-B (default eps=1e-08),2/20,1.53e-05,1.17e-05,1.29e-05,2.68e-06,3.85e-06
asymmetric,l-bfgs-b,3-point,,2D L-BFGS-B (central diff),2/20,8.27e-08,2.48e-08,6.37e-08,7.46e-09,2.04e-08
asymmetric,l-bfgs-b,,1e-06,2D L-BFGS-B (eps=1e-6),3/20,1.59e-03,9.01e-04,1.29e-03,2.06e-04,3.88e-04
asymmetric,l-bfgs-b,,1e-10,2D L-BFGS-B (eps=1e-10),0/20,1.60e-07,1.08e-07,1.29e-07,2.50e-08,3.90e-08
asymmetric,grid,,,2D Grid (256²),0/20,2.58e+00,1.89e+00,2.00e+00,4.43e-01,5.69e-01
